# step	time [s]	loss min	loss median	loss max	learning rate
42000	386	0.236893	0.378349	0.584483	0.001
42100	388	0.210897	0.381741	0.588425	0.001
42200	389	0.18824	0.391815	0.551929	0.001
42300	390	0.184717	0.379719	0.548282	0.001
42400	391	0.209385	0.377551	0.54947	0.001
42500	391	0.185394	0.402925	0.633593	0.001
42600	392	0.227245	0.375699	0.588081	0.001
42700	393	0.170972	0.380653	0.612864	0.001
42800	393	0.227483	0.391382	0.731738	0.001
42900	394	0.162005	0.380801	0.599277	0.001
43000	395	0.218907	0.391188	0.615827	0.001
43100	397	0.199831	0.37964	0.541014	0.001
43200	398	0.201952	0.374736	0.575846	0.001
43300	399	0.246964	0.3736	0.614763	0.001
43400	400	0.227215	0.377809	0.623363	0.001
43500	400	0.210591	0.372392	0.583587	0.001
43600	401	0.192716	0.376976	0.660919	0.001
43700	402	0.233894	0.376512	0.536611	0.001
43800	403	0.158513	0.360289	0.642032	0.001
43900	403	0.209473	0.375402	0.676484	0.001
44000	404	0.202719	0.379498	0.7017	0.001
44100	406	0.229334	0.381883	0.576263	0.001
44200	407	0.190218	0.370944	0.605833	0.001
44300	408	0.162648	0.363481	0.624835	0.001
44400	409	0.206988	0.37206	0.636307	0.001
44500	409	0.225187	0.388618	0.621273	0.001
44600	410	0.174276	0.402577	0.571668	0.001
44700	411	0.213627	0.381906	0.784638	0.001
44800	412	0.224077	0.390981	0.617887	0.001
44900	412	0.175976	0.362903	0.642025	0.001
45000	413	0.198967	0.364034	0.629651	0.001
45100	416	0.227794	0.371436	0.602435	0.001
45200	416	0.218186	0.388293	0.640298	0.001
45300	417	0.192326	0.39363	0.72552	0.001
45400	418	0.201296	0.370309	0.633771	0.001
45500	418	0.219758	0.380097	0.600611	0.001
45600	419	0.202576	0.359082	0.646765	0.001
45700	420	0.241766	0.37226	0.615344	0.001
45800	421	0.216211	0.380154	0.528686	0.001
45900	421	0.171501	0.367666	0.601229	0.001
46000	422	0.19459	0.363909	0.566617	0.001
46100	425	0.239668	0.369519	0.60177	0.001
46200	425	0.247337	0.373379	0.633121	0.001
46300	426	0.147925	0.365848	0.5968	0.001
46400	427	0.216321	0.362795	0.622342	0.001
46500	427	0.12189	0.374758	0.549005	0.001
46600	428	0.205639	0.366169	0.633086	0.001
46700	429	0.196937	0.365013	0.620593	0.001
46800	430	0.203038	0.383213	0.623846	0.001
46900	430	0.242169	0.377356	0.689463	0.001
47000	431	0.203487	0.370231	0.652858	0.001
47100	434	0.232863	0.365001	0.614749	0.001
47200	434	0.191123	0.384526	0.730613	0.001
47300	435	0.177933	0.377961	0.631265	0.001
47400	436	0.143069	0.372899	0.670526	0.001
47500	437	0.23121	0.364529	0.585362	0.001
47600	437	0.225934	0.378935	0.626596	0.001
47700	438	0.183414	0.376301	0.596421	0.001
47800	439	0.148456	0.387083	0.635	0.001
47900	439	0.204729	0.380688	0.669913	0.001
48000	440	0.239252	0.37661	0.722749	0.001
48100	443	0.217209	0.38136	0.635507	0.001
48200	443	0.241452	0.38546	0.562558	0.001
48300	444	0.248235	0.36717	0.606116	0.001
48400	445	0.193341	0.365952	0.619474	0.001
48500	446	0.197823	0.360557	0.582411	0.001
48600	446	0.212154	0.378593	0.601767	0.001
48700	447	0.233661	0.368867	0.556276	0.001
48800	448	0.186151	0.377515	0.646758	0.001
48900	449	0.220261	0.375002	0.657428	0.001
49000	449	0.190798	0.352663	0.634797	0.001
49100	452	0.218646	0.38298	0.696871	0.001
49200	453	0.201051	0.370157	0.605719	0.001
49300	453	0.154836	0.359876	0.641412	0.001
49400	454	0.197766	0.360753	0.578422	0.001
49500	455	0.185623	0.383781	0.63438	0.001
49600	455	0.2036	0.373502	0.62716	0.001
49700	456	0.22958	0.372591	0.65046	0.001
49800	457	0.195258	0.37749	0.603818	0.001
49900	458	0.253915	0.390728	0.630675	0.001
50000	458	0.172542	0.380105	0.583893	0.001
50100	461	0.218756	0.369481	0.574393	0.001
50200	462	0.212447	0.400507	0.565653	0.001
50300	463	0.184982	0.376011	0.683679	0.001
50400	463	0.222815	0.351643	0.573602	0.001
50500	464	0.21921	0.366512	0.604808	0.001
50600	465	0.196837	0.377369	0.5831	0.001
50700	466	0.227032	0.388826	0.612375	0.001
50800	466	0.199643	0.363675	0.575116	0.001
50900	467	0.20107	0.377124	0.646467	0.001
51000	468	0.214201	0.371364	0.67187	0.001
51100	470	0.20867	0.370092	0.57144	0.001
51200	471	0.209077	0.37153	0.543495	0.001
51300	472	0.201361	0.367699	0.614009	0.001
51400	473	0.198355	0.368425	0.563204	0.001
51500	473	0.13278	0.367955	0.59465	0.001
51600	474	0.22342	0.383358	0.589162	0.001
51700	475	0.228944	0.369679	0.653243	0.001
51800	475	0.207935	0.367494	0.583048	0.001
51900	476	0.138512	0.361949	0.576103	0.001
52000	477	0.165313	0.366175	0.538744	0.001
52100	479	0.177165	0.365938	0.575051	0.001
52200	480	0.205798	0.386433	0.633851	0.001
52300	481	0.211614	0.382191	0.590666	0.001
52400	482	0.170804	0.365477	0.530466	0.001
52500	482	0.172747	0.37171	0.550807	0.001
52600	483	0.190151	0.365001	0.627988	0.001
52700	484	0.175539	0.359385	0.617196	0.001
52800	485	0.224873	0.37574	0.646267	0.001
52900	485	0.214515	0.365079	0.650308	0.001
53000	486	0.204365	0.372921	0.558949	0.001
53100	489	0.196876	0.380506	0.658859	0.001
53200	489	0.200447	0.367452	0.570477	0.001
53300	490	0.19182	0.363593	0.622642	0.001
53400	491	0.214435	0.382504	0.597879	0.001
53500	492	0.185101	0.385755	0.612248	0.001
53600	492	0.215631	0.355048	0.646612	0.001
53700	493	0.174735	0.3853	0.585393	0.001
53800	494	0.222538	0.370841	0.58075	0.001
53900	494	0.235433	0.348786	0.609203	0.001
54000	495	0.232135	0.362085	0.555123	0.001
54100	498	0.184775	0.374058	0.618284	0.001
54200	498	0.207292	0.371237	0.602613	0.001
54300	499	0.232141	0.364855	0.57652	0.001
54400	500	0.199162	0.379924	0.606708	0.001
54500	501	0.195535	0.390013	0.660912	0.001
54600	501	0.19783	0.390175	0.588363	0.001
54700	502	0.201618	0.353459	0.59294	0.001
54800	503	0.228457	0.369742	0.60643	0.001
54900	504	0.174868	0.36455	0.551568	0.001
55000	504	0.204722	0.365905	0.579098	0.001
55100	507	0.188378	0.373396	0.553509	0.001
55200	508	0.21213	0.363896	0.586013	0.001
55300	508	0.220048	0.363299	0.610536	0.001
55400	509	0.206727	0.353947	0.563462	0.001
55500	510	0.204443	0.386333	0.583413	0.001
55600	511	0.179095	0.371732	0.624125	0.001
55700	511	0.214399	0.373048	0.592874	0.001
55800	512	0.205947	0.372857	0.560515	0.001
55900	513	0.214305	0.364007	0.615747	0.001
56000	513	0.208789	0.382858	0.573241	0.001
56100	516	0.216838	0.355457	0.569349	0.001
56200	517	0.199192	0.370915	0.632344	0.001
56300	517	0.214621	0.36263	0.589164	0.001
56400	518	0.223219	0.382528	0.596212	0.001
56500	519	0.199923	0.356244	0.550572	0.001
56600	520	0.182904	0.376335	0.583812	0.001
56700	520	0.199025	0.382932	0.602362	0.001
56800	521	0.237221	0.36258	0.651712	0.001
56900	522	0.205858	0.371888	0.598069	0.001
57000	523	0.19116	0.362202	0.613719	0.001
57100	525	0.17304	0.350244	0.620763	0.001
57200	526	0.220711	0.383014	0.639627	0.001
57300	527	0.186744	0.374342	0.642338	0.001
57400	527	0.233415	0.376761	0.638472	0.001
57500	528	0.203522	0.377835	0.641229	0.001
57600	529	0.210002	0.3871	0.660327	0.001
57700	529	0.179808	0.389307	0.534828	0.001
